stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code
6121,6121,Research & Technology Station,,  43.481608, -80.545128,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,,1,2
6122,6122,Northfield Station,,  43.497206, -80.543177,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,,1,2
6123,6123,Conestoga Station,,  43.498272, -80.529596,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,,1,2
7000,7000,Snyders / Notre Dame,,  43.413404, -80.606216,,,0,,1,
7001,7001,Snyders / Notre Dame,,  43.413341, -80.605695,,,0,,1,
7002,7002,Snyders / Forler,,  43.405625, -80.656739,,,0,,2,
7003,7003,Snyders / Forler,,  43.405559, -80.656092,,,0,,2,
7004,7004,Snyders / Brubacher,,  43.404701, -80.662960,,,0,,2,
7005,7005,Snyders / Coachmans,,  43.404489, -80.663303,,,0,,2,
7006,7006,Snyders / Mill,,  43.403452, -80.671385,,,0,,1,
7007,7007,Snyders / Foundry,,  43.403611, -80.669199,,,0,,2,
7008,7008,Waterloo-Oxford District Secondary School,,  43.401234, -80.687378,,,0,,2,
7009,7009,Waterloo St. / Christner,,  43.396590, -80.705159,,,0,,2,
7010,7010,Waterloo St. / Christner,,  43.397171, -80.704310,,,0,,2,
7011,7011,Waterloo St. / Forrest,,  43.387628, -80.711347,,,0,,2,
7016,7016,Waterloo St. / Wilmot Family Resource Centre,,  43.381433, -80.714770,,,0,,2,
7017,7017,Waterloo St. / Wilmot Family Resource Centre,,  43.381577, -80.714466,,,0,,2,
7018,7018,Waterloo St. / Huron,,  43.377642, -80.713867,,,0,,2,
7019,7019,Waterloo St. / Huron,,  43.377812, -80.713874,,,0,,2,
7020,7020,Huron / Union,,  43.378162, -80.711623,,,0,,1,
7021,7021,Huron / Union,,  43.378307, -80.711842,,,0,,1,
7022,7022,Peel / Boullee,,  43.376548, -80.707796,,,0,,2,
7023,7023,Peel / Boullee,,  43.376813, -80.707800,,,0,,2,
7024,7024,Peel / Bleams,,  43.373590, -80.704708,,,0,,2,
7025,7025,Peel / Bleams,,  43.373523, -80.704447,,,0,,2,
7033,7033,Mackays No Frills New Hamburg,,  43.370367, -80.703937,,,0,,1,
7035,7035,Waterloo St. / Victoria,,  43.387798, -80.710968,,,0,,2,
7037,7037,Highland / Trussler,,  43.421315, -80.558582,,,0,,2,
7038,7038,560 Snyders Rd. E.,,  43.407226, -80.646279,,,0,,2,
7039,7039,560 Snyders Rd. E.,,  43.407136, -80.645915,,,0,,2,
7040,7040,Highland / Trussler,,  43.420881, -80.559194,,,0,,2,
7041,7041,Kitchener Gurdwara,,  43.417566, -80.580515,,,0,,2,
7137,7137,Toyota Cambridge Gate 2,,  43.419436, -80.375590,,,0,,1,
7139,7139,Toyota Cambridge Gate 1,,  43.416679, -80.374048,,,0,,1,
place_AST,,Ainslie Terminal,,  43.357455, -80.313250,,,1,,,
place_CBC,,Cambridge Centre Station,,  43.392920, -80.322606,,,1,,,
place_CCD,,Conestoga College Doon,,  43.390371, -80.403560,,,1,,,
place_CML,,Conestoga Station (bus),,  43.498150, -80.529220,,,1,,,
place_ECI,,Eastwood CI,,  43.439090, -80.460999,,,1,,,
place_FVM,,Fairway Station (bus),,  43.423075, -80.441140,,,1,,,
place_GRH,,Grand River Hospital Station (lrt),,  43.457000, -80.511135,,,1,,,
place_HHS,,Huron Heights SS,,  43.394121, -80.466436,,,1,,,
place_KUN,,King/University,,  43.476140, -80.524970,,,1,,,
place_NORT,,Northfield Station (bus),,  43.497280, -80.543351,,,1,,,
place_SMH,,St. Mary's High School,,  43.420000, -80.465320,,,1,,,
place_SPM,,Stanley Park,,  43.448916, -80.444425,,,1,,,
place_SPW,,Sportsworld Station,,  43.409919, -80.392925,,,1,,,
place_SRC,,Sunrise Centre,,  43.414665, -80.516827,,,1,,,
place_TBW,,The Boardwalk Station,,  43.435323, -80.560706,,,1,,,
