route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
301,301-Weekday-1-23WINT-1111100,3117697,Conestoga Station,0,331213,3010006,1,1
301,301-Weekday-1-23WINT-1111100,3117698,Conestoga Station,0,331215,3010006,1,1
301,301-Weekday-1-23WINT-1111100,3117699,Conestoga Station,0,331208,3010006,1,1
301,301-Weekday-1-23WINT-1111100,3117700,Conestoga Station,0,331209,3010006,1,1
301,301-Weekday-1-23WINT-1111100,3117701,Conestoga Station,0,331212,3010006,1,1
301,301-Weekday-1-23WINT-1111100,3117702,Conestoga Station,0,331211,3010006,1,1
301,301-Weekday-1-23WINT-1111100,3117703,Conestoga Station,0,331208,3010006,1,1
301,301-Weekday-1-23WINT-1111100,3117704,Conestoga Station,0,331209,3010006,1,1
301,301-Weekday-1-23WINT-1111100,3117705,Conestoga Station,0,331209,3010006,1,1
301,301-Weekday-1-23WINT-1111100,3117706,Conestoga Station,0,331206,3010006,1,1
301,301-Weekday-1-23WINT-1111100,3117707,Conestoga Station,0,331210,3010006,1,1
301,301-Weekday-1-23WINT-1111100,3117708,Conestoga Station,0,331212,3010006,1,1
301,301-Weekday-1-23WINT-1111100,3117709,Conestoga Station,0,331207,3010006,1,1
301,301-Weekday-1-23WINT-1111100,3117710,Conestoga Station,0,331211,3010006,1,1
301,301-Weekday-1-23WINT-1111100,3117711,Conestoga Station,0,331213,3010006,1,1
301,301-Weekday-1-23WINT-1111100,3117712,Conestoga Station,0,331214,3010006,1,1
301,301-Weekday-1-23WINT-1111100,3117713,Conestoga Station,0,331208,3010006,1,1
301,301-Weekday-1-23WINT-1111100,3117714,Conestoga Station,0,331209,3010006,1,1
301,301-Weekday-1-23WINT-1111100,3117715,Conestoga Station,0,331210,3010006,1,1
301,301-Weekday-1-23WINT-1111100,3117716,Conestoga Station,0,331211,3010006,1,1
301,301-Weekday-1-23WINT-1111100,3117717,Conestoga Station,0,331214,3010006,1,1
301,301-Weekday-1-23WINT-1111100,3117718,Conestoga Station,0,331214,3010006,1,1
301,301-Weekday-1-23WINT-1111100,3117719,Conestoga Station,0,331212,3010006,1,1
301,301-Weekday-1-23WINT-1111100,3117720,Conestoga Station,0,331207,3010006,1,1
301,301-Weekday-1-23WINT-1111100,3117721,Conestoga Station,0,331208,3010006,1,1
301,301-Weekday-1-23WINT-1111100,3117722,Conestoga Station,0,331207,3010006,1,1
301,301-Weekday-1-23WINT-1111100,3117723,Conestoga Station,0,331210,3010006,1,1
301,301-Weekday-1-23WINT-1111100,3117724,Fairway Station,1,331214,3010005,1,1
301,301-Weekday-1-23WINT-1111100,3117725,Fairway Station,1,331211,3010007,1,1
301,301-Weekday-1-23WINT-1111100,3117726,Fairway Station,1,331210,3010005,1,1
301,301-Weekday-1-23WINT-1111100,3117727,Fairway Station,1,331209,3010005,1,1
301,301-Weekday-1-23WINT-1111100,3117728,Fairway Station,1,331208,3010005,1,1
301,301-Weekday-1-23WINT-1111100,3117729,Fairway Station,1,331214,3010005,1,1
301,301-Weekday-1-23WINT-1111100,3117730,Fairway Station,1,331213,3010005,1,1
301,301-Weekday-1-23WINT-1111100,3117731,Fairway Station,1,331211,3010005,1,1
301,301-Weekday-1-23WINT-1111100,3117732,Fairway Station,1,331207,3010005,1,1
301,301-Weekday-1-23WINT-1111100,3117733,Fairway Station,1,331212,3010005,1,1
301,301-Weekday-1-23WINT-1111100,3117734,Fairway Station,1,331210,3010005,1,1
301,301-Weekday-1-23WINT-1111100,3117735,Fairway Station,1,331206,3010005,1,1
301,301-Weekday-1-23WINT-1111100,3117736,Fairway Station,1,331209,3010005,1,1
301,301-Weekday-1-23WINT-1111100,3117737,Fairway Station,1,331208,3010005,1,1
301,301-Weekday-1-23WINT-1111100,3117738,Fairway Station,1,331215,3010005,1,1
301,301-Weekday-1-23WINT-1111100,3117739,Fairway Station,1,331213,3010005,1,1
301,301-Weekday-1-23WINT-1111100,3117740,Fairway Station,1,331211,3010005,1,1
301,301-Weekday-1-23WINT-1111100,3117741,Fairway Station,1,331207,3010005,1,1
301,301-Weekday-1-23WINT-1111100,3117742,Fairway Station,1,331212,3010005,1,1
301,301-Weekday-1-23WINT-1111100,3117743,Fairway Station,1,331210,3010005,1,1
301,301-Weekday-1-23WINT-1111100,3117744,Fairway Station,1,331206,3010005,1,1
301,301-Weekday-1-23WINT-1111100,3117745,Fairway Station,1,331209,3010005,1,1
301,301-Weekday-1-23WINT-1111100,3117746,Fairway Station,1,331208,3010005,1,1
301,301-Weekday-1-23WINT-1111100,3117747,Fairway Station,1,331215,3010005,1,1
301,301-Weekday-1-23WINT-1111100,3117748,Fairway Station,1,331214,3010005,1,1
301,301-Weekday-1-23WINT-1111100,3117749,Fairway Station,1,331213,3010005,1,1
301,301-Weekday-1-23WINT-1111100,3117750,Fairway Station,1,331211,3010005,1,1
301,301-Weekday-1-23WINT-1111100,3117751,Fairway Station,1,331207,3010005,1,1
