service_id,date,exception_type
12-Sunday-1-23WINT-0000001,20230122,1
12-Sunday-1-23WINT-0000001,20230129,1
12-Sunday-1-23WINT-0000001,20230205,1
12-Sunday-1-23WINT-0000001,20230212,1
12-Sunday-1-23WINT-0000001,20230219,1
12-Sunday-1-23WINT-0000001,20230226,1
12-Sunday-1-23WINT-0000001,20230305,1
12-Sunday-1-23WINT-0000001,20230312,1
12-Sunday-1-23WINT-0000001,20230319,1
12-Sunday-1-23WINT-0000001,20230326,1
12-Sunday-1-23WINT-0000001,20230402,1
12-Sunday-1-23WINT-0000001,20230409,1
12-Sunday-1-23WINT-0000001,20230416,1
12-Sunday-1-23WINT-0000001,20230423,1
12-Weekday-1-23WINT-1111100,20230116,1
12-Weekday-1-23WINT-1111100,20230117,1
12-Weekday-1-23WINT-1111100,20230118,1
12-Weekday-1-23WINT-1111100,20230119,1
12-Weekday-1-23WINT-1111100,20230120,1
12-Weekday-1-23WINT-1111100,20230123,1
12-Weekday-1-23WINT-1111100,20230124,1
12-Weekday-1-23WINT-1111100,20230125,1
12-Weekday-1-23WINT-1111100,20230126,1
12-Weekday-1-23WINT-1111100,20230127,1
12-Weekday-1-23WINT-1111100,20230130,1
12-Weekday-1-23WINT-1111100,20230131,1
12-Weekday-1-23WINT-1111100,20230201,1
12-Weekday-1-23WINT-1111100,20230202,1
12-Weekday-1-23WINT-1111100,20230203,1
12-Weekday-1-23WINT-1111100,20230206,1
12-Weekday-1-23WINT-1111100,20230207,1
12-Weekday-1-23WINT-1111100,20230208,1
12-Weekday-1-23WINT-1111100,20230209,1
12-Weekday-1-23WINT-1111100,20230210,1
12-Weekday-1-23WINT-1111100,20230213,1
12-Weekday-1-23WINT-1111100,20230214,1
12-Weekday-1-23WINT-1111100,20230215,1
12-Weekday-1-23WINT-1111100,20230216,1
12-Weekday-1-23WINT-1111100,20230217,1
12-Weekday-1-23WINT-1111100,20230221,1
12-Weekday-1-23WINT-1111100,20230222,1
12-Weekday-1-23WINT-1111100,20230223,1
12-Weekday-1-23WINT-1111100,20230224,1
12-Weekday-1-23WINT-1111100,20230227,1
12-Weekday-1-23WINT-1111100,20230228,1
12-Weekday-1-23WINT-1111100,20230301,1
12-Weekday-1-23WINT-1111100,20230302,1
12-Weekday-1-23WINT-1111100,20230303,1
12-Weekday-1-23WINT-1111100,20230306,1
12-Weekday-1-23WINT-1111100,20230307,1
12-Weekday-1-23WINT-1111100,20230308,1
12-Weekday-1-23WINT-1111100,20230309,1
12-Weekday-1-23WINT-1111100,20230310,1
12-Weekday-1-23WINT-1111100,20230313,1
12-Weekday-1-23WINT-1111100,20230314,1
12-Weekday-1-23WINT-1111100,20230315,1
12-Weekday-1-23WINT-1111100,20230316,1
12-Weekday-1-23WINT-1111100,20230317,1
12-Weekday-1-23WINT-1111100,20230320,1
12-Weekday-1-23WINT-1111100,20230321,1
12-Weekday-1-23WINT-1111100,20230322,1
12-Weekday-1-23WINT-1111100,20230323,1
12-Weekday-1-23WINT-1111100,20230324,1
12-Weekday-1-23WINT-1111100,20230327,1
12-Weekday-1-23WINT-1111100,20230328,1
12-Weekday-1-23WINT-1111100,20230329,1
12-Weekday-1-23WINT-1111100,20230330,1
12-Weekday-1-23WINT-1111100,20230331,1
12-Weekday-1-23WINT-1111100,20230403,1
12-Weekday-1-23WINT-1111100,20230404,1
12-Weekday-1-23WINT-1111100,20230405,1
12-Weekday-1-23WINT-1111100,20230406,1
12-Weekday-1-23WINT-1111100,20230410,1
12-Weekday-1-23WINT-1111100,20230411,1
12-Weekday-1-23WINT-1111100,20230412,1
12-Weekday-1-23WINT-1111100,20230413,1
12-Weekday-1-23WINT-1111100,20230414,1
12-Weekday-1-23WINT-1111100,20230417,1
12-Weekday-1-23WINT-1111100,20230418,1
12-Weekday-1-23WINT-1111100,20230419,1
12-Weekday-1-23WINT-1111100,20230420,1
12-Weekday-1-23WINT-1111100,20230421,1
13-Holiday1-1-23WINT-0000001,20230220,1
13-Holiday1-1-23WINT-0000001,20230407,1
13-Saturday-1-23WINT-0000010,20230121,1
13-Saturday-1-23WINT-0000010,20230128,1
13-Saturday-1-23WINT-0000010,20230204,1
13-Saturday-1-23WINT-0000010,20230211,1
13-Saturday-1-23WINT-0000010,20230218,1
